Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Affugtning.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Strømforbrug.aspx";false;Strømforbrug.aspx;;
Afskrivningstabel indbo.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Elektriske%20musikinstrumenter.aspx";false;Elektriske%20musikinstrumenter.aspx;;
SkybrudsmanualBeredskabsplan.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Startside.aspx";true;Startside.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Affugtning.aspx";false;Affugtning.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Eget%20arbejde.aspx";true;Eget%20arbejde.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Gulvbelægning%20i%20kælder.aspx";false;Gulvbelægning%20i%20kælder.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/Skade/Skybrudsmanual/hustegning.jpg";false;hustegning.jpg;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Håndværkere.aspx";false;Håndværkere.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Højvandslukkere.aspx";false;Højvandslukkere.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Kontanterstatning.aspx";true;Kontanterstatning.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Priser%20på%20bygningsdele.aspx";false;Priser%20på%20bygningsdele.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Skimmel%20på%20bygning.aspx";false;Skimmel%20på%20bygning.aspx;;
Bygning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Strømforbrug.aspx";false;Strømforbrug.aspx;;
SkybrudsmanualEget arbejde.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Kontanterstatning.aspx";true;Kontanterstatning.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Skadeservicefirmaer.aspx";false;Skadeservicefirmaer.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/afskrivning.aspx";true;afskrivning.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Bortskaffelse%20af%20beskadigede%20genstande.aspx";false;Bortskaffelse%20af%20beskadigede%20genstande.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/højvandslukkere.aspx";false;højvandslukkere.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Bortskaffelse%20af%20beskadigede%20genstande.aspx";false;Bortskaffelse%20af%20beskadigede%20genstande.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx";false;Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx;;
FAQ.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Skadeservicefirmaer.aspx";false;Skadeservicefirmaer.aspx;;
Håndværkere.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Reklamation.aspx";false;Reklamation.aspx;;
Håndværkere.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/A%20conto%20udbetalinger.aspx";false;A%20conto%20udbetalinger.aspx;;
Håndværkere.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Rykkergebyr.aspx";false;Rykkergebyr.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Autostole.aspx";true;Autostole.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Biblioteksbøger,%20cd%27er,%20dvd%27er%20lånt%20på%20biblioteket.aspx";false;Biblioteksbøger,%20cd%27er,%20dvd%27er%20lånt%20på%20biblioteket.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Erhverv.aspx";false;Erhverv.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Genstande%20uden%20for%20bygning.aspx";false;Genstande%20uden%20for%20bygning.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Gulvbelægning%20i%20kælder.aspx";false;Gulvbelægning%20i%20kælder.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx";false;Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Afskrivningstabel%20indbo.aspx";false;Afskrivningstabel%20indbo.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Bøger.aspx";false;Bøger.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Cd,%20dvd%20og%20lp%27er.aspx";false;Cd,%20dvd%20og%20lp%27er.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Dokumentation.aspx";true;Dokumentation.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Dybfrost.aspx";false;Dybfrost.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Eget%20arbejde.aspx";true;Eget%20arbejde.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Fotos.aspx";false;Fotos.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Møbler%20-%20reparation.aspx";false;Møbler%20-%20reparation.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Vin.aspx";false;Vin.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Redning%20-%20hvad%20kan%20og%20skal%20man%20gøre.aspx";false;Redning%20-%20hvad%20kan%20og%20skal%20man%20gøre.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Skimmel%20på%20indbo.aspx";false;Skimmel%20på%20indbo.aspx;;
Indbo.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Tabsbegrænsningspligt.aspx";false;Tabsbegrænsningspligt.aspx;;
Indbovilkårenes afsnit 11. Vandskade.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Opstigende%20grundvand%20på%20lejeres%20forsikrede%20ting.aspx";false;Opstigende%20grundvand%20på%20lejeres%20forsikrede%20ting.aspx;;
Klager.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Klage%20over%20afgørelse%20-%20Procedure.aspx";false;Klage%20over%20afgørelse%20-%20Procedure.aspx;;
SkybrudsmanualKontanterstatning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Kontanterstatning.aspx";true;Kontanterstatning.aspx;;
SkybrudsmanualKontanterstatning.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Eget%20arbejde.aspx";true;Eget%20arbejde.aspx;;
Lyn contra elskade på indbo+.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Summer,%20præmier%20og%20selvrisikobeløb.aspx";false;Summer,%20præmier%20og%20selvrisikobeløb.aspx;;
Naturlige åbninger.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Afsnit%206%20+%20Udvidet%20vanddækning.aspx";false;Afsnit%206%20+%20Udvidet%20vanddækning.aspx;;
Naturlige åbninger.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Indbovilkårenes%20afsnit%2011.%20Vandskade.aspx";false;Indbovilkårenes%20afsnit%2011.%20Vandskade.aspx;;
Opmagasinering når medlem bor i lejlighed.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Selvrisiko.aspx";true;Selvrisiko.aspx;;
Redning - hvad kan og skal man gøre.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Tøjvask.aspx";false;Tøjvask.aspx;;
Redning-bevaring eller skadeudgift.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Eget%20arbejde.aspx";true;Eget%20arbejde.aspx;;
Rejseafbestilling.aspx;Skybrudsmanual;href="/sites/skade/sitepages/1%20Forsikringen%20dækker%20-%20Hvornår%20er%20en%20skade%20i%20medlemmets%20hjem%20væsentlig.aspx";false;1%20Forsikringen%20dækker%20-%20Hvornår%20er%20en%20skade%20i%20medlemmets%20hjem%20væsentlig.aspx;;
Reserver.aspx;Skybrudsmanual;href="/sites/Skade/Skybrudsmanual/Hvordan%20afsættes%20reserve.docx";false;Hvordan%20afsættes%20reserve.docx;;
Reserver.aspx;Skybrudsmanual;href="/sites/Skade/Skybrudsmanual/Reserver.docx";false;Reserver.docx;;
Sanering.aspx;Skybrudsmanual;href="http://intranet.lb.dk/policehaandbog/bg0/Sider/Arkiv_Bg0_Saneringsh%c3%a5ndbogen.aspx";false;Arkiv_Bg0_Saneringsh%c3%a5ndbogen.aspx;;
Sanering.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Forbeholdsbreve.aspx";false;Forbeholdsbreve.aspx;;
SkybrudsmanualSelvrisiko.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Lyn%20contra%20elskade%20på%20indbo+.aspx";false;Lyn%20contra%20elskade%20på%20indbo+.aspx;;
SkybrudsmanualSelvrisiko.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Summer,%20præmier%20og%20selvrisikobeløb.aspx";false;Summer,%20præmier%20og%20selvrisikobeløb.aspx;;
Selvrisiko-Statistikkoder-Reserver.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Selvrisiko.aspx";true;Selvrisiko.aspx;;
Selvrisiko-Statistikkoder-Reserver.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Statistikkoder.aspx";true;Statistikkoder.aspx;;
Selvrisiko-Statistikkoder-Reserver.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Reserver.aspx";true;Reserver.aspx;;
Selvrisiko-Statistikkoder-Reserver.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Lyn%20contra%20elskade%20på%20indbo+.aspx";false;Lyn%20contra%20elskade%20på%20indbo+.aspx;;
Skader forvoldt af håndværkere.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Reklamation.aspx";false;Reklamation.aspx;;
Skimmel på bygning.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Skimmel%20på%20indbo.aspx";false;Skimmel%20på%20indbo.aspx;;
Skimmel på indbo.aspx;Skybrudsmanual;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=87959";false;viewdoc.aspx?CN=87959;;
Skimmel på indbo.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Skimmel%20på%20bygning.aspx";false;Skimmel%20på%20bygning.aspx;;
SkybrudsmanualSkybrud.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Naturlige%20åbninger.aspx";false;Naturlige%20åbninger.aspx;;
SkybrudsmanualSkybrud.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Afsnit%206%20+%20Udvidet%20vanddækning.aspx";false;Afsnit%206%20+%20Udvidet%20vanddækning.aspx;;
SkybrudsmanualSkybrud.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Skybrud.aspx";true;Skybrud.aspx;;
SkybrudsmanualSkybrud.aspx;Skybrudsmanual;href="http://www.forsikringsvejret.dk/";false;;;
SkybrudsmanualSkybrud.aspx;Skybrudsmanual;href="/sites/Skade/Lists/Strre%20Skadebegivenheder%20reas/AllItems.aspx";false;AllItems.aspx;;
Sporer i luften.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Bøger.aspx";false;Bøger.aspx;;
Sporer i luften.aspx;Skybrudsmanual;href="/sites/skade/sitepages/tøjvask.aspx";false;tøjvask.aspx;;
Tabsbegrænsningspligt.aspx;Skybrudsmanual;href="/sites/skade/sitepages/Redning%20-%20hvad%20kan%20og%20skal%20man%20gøre.aspx";false;Redning%20-%20hvad%20kan%20og%20skal%20man%20gøre.aspx;;
SkybrudsmanualUdbetalinger.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/A%20conto%20udbetalinger.aspx";false;A%20conto%20udbetalinger.aspx;;
Falck bolighjælp.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Falck%20bolighjælp.aspx";true;Falck%20bolighjælp.aspx;;
personrelaterede sager.aspx;Skybrudsmanual;href="/sites/Skade/sitepages/Sagerhvoransatteerinvolveret.aspx";false;Sagerhvoransatteerinvolveret.aspx;;
