Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Affugtning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Strømforbrug.aspx""";False;Strømforbrug.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Afskrivningstabel indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/indbo/SitePages/Elektriske%20musikinstrumenter.aspx""";False;Elektriske%20musikinstrumenter.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
SkybrudsmanualBeredskabsplan.aspx;Skybrudsmanual;"href=""/Skade/hb/BeSk/SitePages/Startside.aspx""";False;Startside.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Affugtning.aspx""";False;Affugtning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Eget%20arbejde.aspx""";False;Eget%20arbejde.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/byg/SitePages/Gulvbelægning%20i%20kælder.aspx""";False;Gulvbelægning%20i%20kælder.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/Delte%20dokumenter/hustegning.jpg""";False;hustegning.jpg;https://lbforsikring.sharepoint.com/sites/Skade/Skybrudsmanual/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Håndværkere.aspx""";False;Håndværkere.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Højvandslukkere.aspx""";False;Højvandslukkere.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Kontanterstatning.aspx""";False;Kontanterstatning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Priser%20på%20bygningsdele.aspx""";False;Priser%20på%20bygningsdele.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Skimmel%20på%20bygning.aspx""";False;Skimmel%20på%20bygning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Bygning.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Strømforbrug.aspx""";False;Strømforbrug.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
SkybrudsmanualEget arbejde.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Kontanterstatning.aspx""";False;Kontanterstatning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Skadeservicefirmaer.aspx""";False;Skadeservicefirmaer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/byg/SitePages/afskrivning.aspx""";False;afskrivning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Bortskaffelse%20af%20beskadigede%20genstande.aspx""";False;Bortskaffelse%20af%20beskadigede%20genstande.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/højvandslukkere.aspx""";False;højvandslukkere.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Bortskaffelse%20af%20beskadigede%20genstande.aspx""";False;Bortskaffelse%20af%20beskadigede%20genstande.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx""";False;Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
FAQ.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Skadeservicefirmaer.aspx""";False;Skadeservicefirmaer.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Håndværkere.aspx;Skybrudsmanual;"href=""/Skade/hb/byg/SitePages/Reklamation.aspx""";False;Reklamation.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Håndværkere.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/A%20conto%20udbetalinger.aspx""";False;A%20conto%20udbetalinger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Håndværkere.aspx;Skybrudsmanual;"href=""/Skade/hb/byg/SitePages/Rykkergebyr.aspx""";False;Rykkergebyr.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/indbo/SitePages/Autostole.aspx""";False;Autostole.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/indbo/SitePages/Biblioteksbøger,%20cd%27er,%20dvd%27er%20lånt%20på%20biblioteket.aspx""";False;Biblioteksbøger,%20cd%27er,%20dvd%27er%20lånt%20på%20biblioteket.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Erhverv.aspx""";False;Erhverv.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Genstande%20uden%20for%20bygning.aspx""";False;Genstande%20uden%20for%20bygning.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/byg/SitePages/Gulvbelægning%20i%20kælder.aspx""";False;Gulvbelægning%20i%20kælder.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx""";False;Opmagasinering%20når%20medlem%20bor%20i%20lejlighed.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Afskrivningstabel%20indbo.aspx""";False;Afskrivningstabel%20indbo.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Bøger.aspx""";False;Bøger.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
Indbo.aspx;Skybrudsmanual;"href=""/Skade/hb/SkybrudsManual/SitePages/Cd,%20dvd%20og%20lp%27er.aspx""";False;Cd,%20dvd%20og%20lp%27er.aspx;https://lbforsikring.sharepoint.com/sites/skade/sitepages/;
