Filnavn;Branche;Content;IsLinkCoincidence;FileInLink;NytLink;Prefix
Afdækning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/SkybrudsManual/SitePages/Skadeservicefirmaer.aspx";false;Skadeservicefirmaer.aspx;;
Afdækning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Vandskade%20på%20bygning%20som%20følge%20af%20storm%20-%20Bygning.aspx";false;Vandskade%20på%20bygning%20som%20følge%20af%20storm%20-%20Bygning.aspx;;
Afdækning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Skadebegrænsning%20-%20Bygning%20og%20indbo.aspx";false;Skadebegrænsning%20-%20Bygning%20og%20indbo.aspx;;
Afskrivning - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/afskrivning.aspx";true;afskrivning.aspx;;
Arkivering af billeder - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/Delte%20dokumenter/Arkivering%20af%20billeder%20fra%20USB%20og%20CD.doc";false;Arkivering%20af%20billeder%20fra%20USB%20og%20CD.doc;;
StormManualBeredskabsplan.aspx;Stormmanual;href="/Skade/hb/BeSk/SitePages/Startside.aspx";true;Startside.aspx;;
Betaling af regninger - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Regninger%20-%20Bygning%20og%20Indbo.aspx";false;Regninger%20-%20Bygning%20og%20Indbo.aspx;;
Betaling af regninger - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Renter%20-%20Bygning%20og%20indbo.aspx";false;Renter%20-%20Bygning%20og%20indbo.aspx;;
Betaling af regninger - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Selvrisiko%20-%20Bygning%20og%20indbo.aspx";false;Selvrisiko%20-%20Bygning%20og%20indbo.aspx;;
Betaling af regninger - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Afskrivning%20-%20Bygning.aspx";false;Afskrivning%20-%20Bygning.aspx;;
Betaling af regninger - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Kontanterstatning%20-%20Bygning%20og%20indbo.aspx";false;Kontanterstatning%20-%20Bygning%20og%20indbo.aspx;;
Brochure - Bygning.aspx;Stormmanual;href="/Skade/hb/SkybrudsManual/Delte%20dokumenter/taksatorfolder.pdf";false;taksatorfolder.pdf;;
Bygningsskadehåndbogen om storm - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Storm.aspx";false;Storm.aspx;;
Carporte - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Udhuse,%20redskabsskure,%20drivhuse%20mm%20-%20antal%20m2.aspx";false;Udhuse,%20redskabsskure,%20drivhuse%20mm%20-%20antal%20m2.aspx;;
Carporte - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Drivhuse%20-%20Bygning.aspx";false;Drivhuse%20-%20Bygning.aspx;;
Drivhuse - Bygning.aspx;Stormmanual;href="http://ankeforsikring.dk/adm-ankenaevnet/Sider/viewdoc.aspx?CN=53716";false;viewdoc.aspx?CN=53716;;
Drivhuse - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx";false;Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx;;
Drivhuse - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Erstatning%20for%20glas%20i%20drivhuse.aspx";false;Erstatning%20for%20glas%20i%20drivhuse.aspx;;
Eget arbejde - Bygning og Indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Kontanterstatning%20-%20Bygning%20og%20indbo.aspx";false;Kontanterstatning%20-%20Bygning%20og%20indbo.aspx;;
Falck Bolighjælp - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Behandling%20af%20bolighjælpsdækningen.aspx";false;Behandling%20af%20bolighjælpsdækningen.aspx;;
Falck Bolighjælp - Bygning.aspx;Stormmanual;href="http://www.falck.dk/";false;;;
Falck Bolighjælp - Bygning.aspx;Stormmanual;href="http://www.falck.dk/";false;;;
Flagstænger - Bygning.aspx;Stormmanual;href="http://www.flagstangsfabrikken.dk/";false;;;
Fygesne - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Afsnit%206%20+%20Udvidet%20vanddækning.aspx";false;Afsnit%206%20+%20Udvidet%20vanddækning.aspx;;
Fygesne - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Vandskade%20på%20bygning%20som%20følge%20af%20storm%20-%20Bygning.aspx";false;Vandskade%20på%20bygning%20som%20følge%20af%20storm%20-%20Bygning.aspx;;
Genhusning - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Skader%20over%201%20million%20-%20Bygning%20og%20indbo.aspx";false;Skader%20over%201%20million%20-%20Bygning%20og%20indbo.aspx;;
Haveanlæg - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Knækkede%20grene%20-%20Bygning.aspx";false;Knækkede%20grene%20-%20Bygning.aspx;;
Haveanlæg - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Træer%20-%20Bygning.aspx";false;Træer%20-%20Bygning.aspx;;
Haveanlæg - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Falck%20Bolighjælp%20-%20Bygning.aspx";false;Falck%20Bolighjælp%20-%20Bygning.aspx;;
Haveanlæg - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Husplus%20afsnit%2014%20-%20Bygning.aspx";false;Husplus%20afsnit%2014%20-%20Bygning.aspx;;
Hegn og stakitter - Bygning.aspx;Stormmanual;href="/Skade/hb/byg/SitePages/Manglende%20fundering.aspx";false;Manglende%20fundering.aspx;;
Indbogenstande - Indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Behandling%20af%20stormskader.aspx";false;Behandling%20af%20stormskader.aspx;;
Indbogenstande - Indbo.aspx;Stormmanual;href="/Skade/hb/DGS/SitePages/Kombiskader%20bygning%20-%20Løsøre.aspx";false;Kombiskader%20bygning%20-%20Løsøre.aspx;;
Indboskadehåndbogen om storm - Indbo.aspx;Stormmanual;href="/Skade/hb/indbo/SitePages/Behandling%20af%20stormskader.aspx";false;Behandling%20af%20stormskader.aspx;;
Knækkede grene - Bygning.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Træer%20-%20Bygning.aspx";false;Træer%20-%20Bygning.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Reparation%20-%20Bygning.aspx";false;Reparation%20-%20Bygning.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Eget%20arbejde%20-%20Bygning%20og%20Indbo.aspx";false;Eget%20arbejde%20-%20Bygning%20og%20Indbo.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Betaling%20af%20regninger%20-%20Bygning.aspx";false;Betaling%20af%20regninger%20-%20Bygning.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Regninger%20-%20Bygning%20og%20Indbo.aspx";false;Regninger%20-%20Bygning%20og%20Indbo.aspx;;
Kontanterstatning - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Priser%20på%20bygningsdele%20-%20Bygning.aspx";false;Priser%20på%20bygningsdele%20-%20Bygning.aspx;;
Legehuse - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx";false;Muret%20eller%20støbt%20sokkel%20eller%20sokkelsten%20-%20Bygning.aspx;;
Legehuse - Bygning og indbo.aspx;Stormmanual;href="/Skade/hb/StormManual/SitePages/Gyngestativer%20-%20Bygning%20og%20indbo.aspx";false;Gyngestativer%20-%20Bygning%20og%20indbo.aspx;;
