Kolonne1	Kolonne2	Kolonne3	Kolonne4
Fagligt - Sprogkyndige.aspx	"href=""/Kompetenceforum/Sider/forside.aspx"""		
Forretningsgange og retningslinier - Forlængelser hos Selandia.aspx	"href=""/policehaandbog/bg3/Sider/Arkiv_bg_30_Kontakt-oplysninger-til-Selandia.aspx"""		
F. Hvilke rejser dækker forsikringen - Erhvervsrejser.aspx	"href=""/policehaandbog/bg3/Sider/bg3_Interne-dækningsregler---Udstationering-eller-ferie.aspx"""		
Falck LGA - Klagesager.aspx	"href=""/Skade/Dokumenter/Forms/AllItems.aspx?RootFolder=/Skade/Dokumenter/Rejse/Klagebesvarelser"""		
Erklæringer og brevskabeloner - Attester og samtykkeerklæring.aspx	"href=""/Skade/tool/ErKl/Forms/AllItems.aspx?RootFolder=/Skade/tool/ErKl/Rejse&amp"	FolderCTID=0x0120005FDC8E93E9D91840B6979FB36B4BF12C&amp	"View=%7bA700F245-98CE-458E-8EB6-CE0D3A01F6E8%7d"""
Falck - LGA - Videregivelse af helbredsoplysninger samt aktindsigt.aspx	"href=""/Skade/tool/ErKl/Forms/AllItems.aspx?RootFolder=/Skade/tool/ErKl/Rejse&amp"	FolderCTID=0x0120005FDC8E93E9D91840B6979FB36B4BF12C&amp	"View=%7bA700F245-98CE-458E-8EB6-CE0D3A01F6E8%7d"""
Forretningsgange og retningslinier - Flyregres.aspx	"href=""/skade/tool/klaind/Lists/RejseRegres/Aktive.aspx"""		
Forretningsgange og retningslinier - Flyregres.aspx	"href=""/skade/tool/klaind/Lists/RejseRegres/Aktive.aspx"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://helpdesk.latam.com/hc/en-us/requests/new?ticket_form_id=237298"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://norwegian-au.custhelp.com/"""		
2. Forsikringen dækker ikke - Konkurs.aspx	"href=""http://rejsegarantifonden.dk/"""		
Erklæringer og brevskabeloner - Det blå kort.aspx	"href=""http://stps.dk/da/borgere/internationalsygesikring/~/media/5E2F901543454601AB338E41E79A0B1E.ashx"""		
Erklæringer og brevskabeloner - Det blå kort.aspx	"href=""http://stps.dk/da/borgere/internationalsygesikring/~/media/5E8E8CFE08294BA88B82AD5B5C4C6266.ashx"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.aeroflot.ru/cms/en/offices"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.airserbia.com/en-RS/damages-claim-form"""		
2. Forsikringen dækker ikke - Hvornår er transfertid ikke overholdt.aspx	"href=""http://www.airtimetable.com/airport_locator.asp"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.bintercanarias.com/Claims"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.croatiaairlines.com/Claim"""		
Rejsens gennemsnitlige pris pr. dag.aspx	"href=""http://www.dk.map24.com/"""		
Det blå kort - Dækningsområde.aspx	"href=""http://www.eu.dk/da/spoergsmaal-og-svar-folder/hvad-er-efta-og-eoes"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.evaair.com/en-us/contact-us-and-help/contact-us/?city=Paris"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.flypgs.com/en/contact/write-to-s"""		
Rejsens gennemsnitlige pris pr. dag.aspx	"href=""http://www.google.dk/maps"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.icelandair.co.uk/information/customer-support/customer-relations/"""		
Regler - Dødsfald - hvordan udbetaler vi.aspx	"href=""http://www.ret-raad.dk/privatraadgivning/testamente-og-arv/doedsbobehandling"""		
Regler - Dødsfald - hvordan udbetaler vi.aspx	"href=""http://www.ret-raad.dk/privatraadgivning/testamente-og-arv/doedsbobehandling/bobestyrerbehandling"""		
Regler - Dødsfald - hvordan udbetaler vi.aspx	"href=""http://www.ret-raad.dk/privatraadgivning/testamente-og-arv/doedsbobehandling/privat-skifte"""		
Forretningsgange og retningslinier - Forlængelser hos Selandia.aspx	"href=""http://www.selandiarejseforsikring.dk/FalckTravelcare"""		
Kort om Nordisk Konvention.aspx	"href=""http://www.sum.dk/Aktuelt/Publikationer/Vejledning_om_EF-regler/Kapitel%2011.aspx"""		
Lister - Adresser til flyselskaber.aspx	"href=""http://www.swiss.com/dk/EN/prepare/baggage/baggage-irregularities"""		
