FileName;HyperLink;Kolonne3;Kolonne4
1. Forsikringen dækker - Autocamper.aspx;"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Hvilke%20boliger%20anses%20som%20feriebolig.aspx""";;
1. Forsikringen dækker - iPhones, iPads og iPods.aspx;"href=""/Skade/hb/indbo/SitePages/Iphones%20-%20Garanti%20-%20Reklamation%20-%20Reparation%20-%20Ombytning.aspx""";;
1. Forsikringen dækker - Mistet pas.aspx;"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Hvornår%20er%20det%20uforskyldt%20og%20uforudseeligt.aspx""";;
2. Forsikringen dækker ikke - Genstande udlånt til elever.aspx;"href=""/Skade/hb/indbo/SitePages/Genstande%20der%20anvendes%20i%20undervisning.aspx""";;
2. Forsikringen dækker ikke - Medlemmets tabsbegrænsningspligt når rejsen er færdigbetalt.aspx;"href=""/Skade/hb/RejseNY/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Rejser%20som%20betales%20i%20rater%20og%20som%20endnu%20ikke%20er%20færdigbetalt.aspx""";;
2. Forsikringen dækker ikke - Rejser som betales i rater og som endnu ikke er færdigbetalt.aspx;"href=""/Skade/hb/RejseNY/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Medlemmets%20tabsbegrænsningspligt%20når%20rejsen%20er%20færdigbetalt.aspx""";;
2. Forsikrngen dækker ikke - Sikrede var under udredning.aspx;"href=""/Skade/hb/RejseNY/SitePages/2.%20Forsikringen%20dækker%20ikke%20-%20Hvordan%20afgør%20vi%20om%20sygdommen%20var%20til%20stede%20ved%20bestilling%20af%20rejsen.aspx""";;
3. Erstatning - Cykler.aspx;"href=""/Skade/hb/DGS/SitePages/Cykler%20-%20Cykel+skader.aspx""";;
3. Erstatning - Cykler.aspx;"href=""/Skade/hb/indbo/SitePages/Maks.%20dækning%20for%20cykler.aspx""";;
3. Erstatning - Hvordan beregnes antallet af dage.aspx;"href=""/Skade/hb/RejseNY/SitePages/Erstatning%20-%20Skema%20til%20beregning%20af%20erstatningsrejse.aspx""";;
3. Erstatning - Hvordan opgøres erstatningen.aspx;"href=""/Skade/hb/RejseNY/SitePages/1.%20Forsikringen%20dækker%20-%20Forsinket%20udstyr.aspx""";;
3. Erstatning - Hvornår og hvordan ydes der erstatning.aspx;"href=""/Skade/hb/RejseNY/SitePages/Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx""";;
3. Erstatning - Hvornår og hvordan ydes der erstatning.aspx;"href=""/Skade/hb/RejseNY/SitePages/Fagligt%20-%20Hvilken%20erstatning%20skal%20medlem%20have.aspx""";;
4. Dokumentation - Bagageidentifikation.aspx;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/4.%20Dokumentation%20-%20Bagageidentifikation/Bagageidentifikation.doc""";;
4. Dokumentation - Skema til identifikation af bagagetyper.aspx;"href=""/Skade/hb/rejse/Documents/bagageidentifikation.doc""";;
Arbejdsgange - Modtagelse af effekter.aspx;"href=""/Skade/hb/indbo/SitePages/Behandling%20af%20fundne%20genstande%20og%20beskadigede%20genstande,%20som%20vi%20beder%20om%20at%20få%20indsendt.aspx""";;
Erklæringer og brevskabeloner - Attester og samtykkeerklæring.aspx;"href=""/Skade/tool/ErKl/Forms/AllItems.aspx?RootFolder=/Skade/tool/ErKl/Rejse&amp";FolderCTID=0x0120005FDC8E93E9D91840B6979FB36B4BF12C&amp;"View=%7bA700F245-98CE-458E-8EB6-CE0D3A01F6E8%7d"""
Erklæringer og brevskabeloner - Brilleerklæring.aspx;"href=""/Skade/hb/RejseNY/Delte%20dokumenter/Brilleerklæring.pdf""";;
Erklæringer og brevskabeloner - Skema til beregning af rejsens pris ved ødelagte feriedage.aspx;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/Erklæringer%20og%20brevskabeloner%20-%20Elektronisk%20skema%20til%20beregning%20af%20rejsens%20pris%20ved%20ødelagte%20feriedage/skadeopgørelsesblanket_rejse.pdf""";;
Erstatning - Skema til beregning af erstatningsrejse.aspx;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/Erstatning%20-%20Skema%20til%20beregning%20af%20erstatningsrejse/Skema%20til%20beregning%20af%20feriedage.xlsx""";;
F. Hvilke rejser dækker forsikringen - Erhvervsrejser.aspx;"href=""/policehaandbog/bg3/Sider/bg3_Interne-dækningsregler---Udstationering-eller-ferie.aspx""";;
Fagligt - Sprogkyndige.aspx;"href=""/Kompetenceforum/Sider/forside.aspx""";;
Falck - LGA - Videregivelse af helbredsoplysninger samt aktindsigt.aspx;"href=""/Skade/tool/ErKl/Forms/AllItems.aspx?RootFolder=/Skade/tool/ErKl/Rejse&amp";FolderCTID=0x0120005FDC8E93E9D91840B6979FB36B4BF12C&amp;"View=%7bA700F245-98CE-458E-8EB6-CE0D3A01F6E8%7d"""
Falck LGA - Betaling af Falck regninger.aspx;"href=""/Skade/hb/RejseNY/SiteAssets/SitePages/Falck%20LGA%20-%20Betaling%20af%20Falck%20regninger/FGA%20fakturabetaling.docx""";;
Falck LGA - Betaling af Falck regninger.aspx;"href=""/Skade/hb/RejseNY/SitePages/Forretningsgange%20og%20retningslinier%20-%20Efteranvisninger.aspx""";;
Falck LGA - Betaling af Falck regninger.aspx;"href=""/Skade/hb/RejseNY/SitePages/Forretningsgange%20og%20retningslinier%20-%20Efteranvisninger.aspx""";;
